,STATEFIP,PUMA,PUMA_NAME
260,6,6507,"Riverside County (North Central)--San Jacinto, Beaumont, Banning & Calimesa Cities"
261,6,6508,Riverside County (Northwest)--Moreno Valley City
262,6,6509,"Riverside County (West Central)--Perris City, Temescal Valley & Mead Valley"
263,6,6510,Riverside County (Northwest)--Riverside City (East)
264,6,6511,Riverside County (Northwest)--Riverside City (West)
265,6,6512,"Riverside County (West Central)--Corona City (South), Woodcrest & Home Gardens"
266,6,6513,Riverside County (West Central)--Corona (Northwest) & Norco Cities
267,6,6514,Riverside County (Northwest)--Jurupa Valley & Eastvale Cities
268,6,6515,"Riverside County--Palm Desert, La Quinta (West) & Desert Hot Springs Cities"
269,6,6701,Sacramento County (North Central)--Citrus Heights City
270,6,6702,Sacramento County (Central)--Rancho Cordova City
271,6,6703,"Sacramento County (North Central)--Arden-Arcade, Carmichael & Fair Oaks (West)"
272,6,6704,"Sacramento County (North Central)--North Highlands, Foothill Farms & McClellan Park"
273,6,6705,Sacramento County (Northwest)--Sacramento City (Northwest/Natomas)
274,6,6706,"Sacramento County (North)--Sacramento City (North), Antelope & Rio Linda"
275,6,6707,Sacramento County (West)--Sacramento City (Central/Downtown & Midtown)
276,6,6708,"Sacramento County--Sacramento City (Southeast/Fruitridge, Avondale & Depot Park)"
277,6,6709,"Sacramento County--Sacramento City (Southwest/Pocket, Meadowview & North Laguna)"
278,6,6710,Sacramento County (Central)--Elk Grove City
279,6,6711,"Sacramento County (South)--Galt, Isleton Cities & Delta Region"
280,6,6712,"Sacramento County (Northeast)--Folsom City, Orangevale & Fair Oaks (East)"
281,6,7101,San Bernardino County (Northeast)--Twentynine Palms & Barstow Cities
282,6,7102,San Bernardino County (West Central)--Victorville & Adelanto Cities
283,6,7103,San Bernardino County (West Central)--Hesperia City & Apple Valley Town
284,6,7104,"San Bernardino County (Southwest)--Phelan, Lake Arrowhead & Big Bear City"
285,6,7105,San Bernardino County (Southwest)--Redlands & Yucaipa Cities
286,6,7106,"San Bernardino County (Southwest)--Colton, Loma Linda & Grand Terrace Cities"
287,6,7107,San Bernardino County (Southwest)--San Bernardino City (East)
288,6,7108,San Bernardino County (Southwest)--San Bernardino City (West)
289,6,7109,San Bernardino County (Southwest)--Rialto City
290,6,7110,San Bernardino County (Southwest)--Fontana City (East)
